year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2010.2528,,,49.92,
2010.2661,,49.1,,
2010.28,,,38.64,
2010.2936,,33.98,,
2010.3072,,,25.65,
2010.3208,,24.89,,
2010.3342,,,18.77,
2010.3479,,23.04,,
2010.3614,,,17.9,
2010.3749,,21.81,,
2010.3884,,,25.07,
2010.402,,22.16,,
2010.4156,,,27.25,
2010.4279,,22.07,,
2010.4429,,,14.75,
2010.4564,,7.94,,
2010.47,,,14.3,
2010.4833,,7.89,,
2010.4967,,,16.08,
2010.5108,,7.55,,
2010.5244,,,23.84,
2010.5377,,24.51,,
2010.5514,,,26.2,
2010.5642,,21.9,,
2010.5784,,,23.49,
2010.5923,,24.06,,
2010.6057,,,20.99,
2010.6194,,15.77,,
2010.6329,,,7.98,
2010.6464,,7.71,,
2010.6599,,,7.99,
2010.6734,,14.64,,
2010.6869,,,6.64,
2010.7008,,7.43,,
2010.7142,,,-2.57,
2010.7278,,11.94,,
2010.7414,,,8.04,
2010.7551,,19.35,,
2010.7687,,,23.88,
2010.7822,,18.9,,
2010.7955,,,23.15,
2010.8093,,24.92,,
2010.8228,,,21.81,
2010.8366,,27.3,,
2010.85,,,27.22,
2010.8636,,31.09,,
2010.8772,,,24.93,
2010.8908,,26.04,,
2010.9044,,,17.49,
2010.9179,,18.85,,
2010.9314,,,19.24,
2010.9451,,12.85,,
2010.9586,,,18.47,
2010.9722,,21.42,,
2010.9856,,,21.88,
2010.9994,,26.31,,
2011.013,,,26.01,
2011.0265,,15.29,,
2011.0395,,,9.83,
2011.0541,,27.65,,
2011.0671,,,26.26,
2011.0808,,10.59,,
2011.0943,,,6.82,
2011.1079,,15.06,,
2011.1213,,,26.58,
2011.1351,,19.62,,
2011.1487,,,18.18,
2011.1623,,14.87,,
2011.1757,,,10.81,
2011.1894,,21.08,,
2011.203,,,24.74,
2011.2168,,24.96,,
2011.23,,,21.87,
2011.2439,,21.98,,
2011.2571,,,28.31,
2011.2709,,21.84,,
2011.2843,,,16.4,
2011.2982,,18.99,,
2011.3116,,,10.18,
2011.3253,,9.36,,
2011.3389,,,16.21,
2011.3523,,14.48,,
2011.366,,,15.31,
2011.3794,,18.99,,
2011.3929,,,31.24,
2011.4067,,26.43,,
2011.4199,,,25.51,
2011.4336,,24.75,,
2011.4473,,,27.64,
2011.4609,,26.96,,
2011.4742,,,26.6,
2011.488,,20.12,,
2011.5013,,,22.65,
2011.5154,,19.41,,
2011.5286,,,20.27,
2011.5424,,15.19,,
2011.5559,,,24.31,
2011.5695,,33.36,,
2011.583,,,36.1,
2011.5967,,32.89,,
2011.6101,,,27.28,
2011.6237,,24.35,,
2011.6373,,,22.64,
2011.651,,33.49,,
2011.6642,,,39.72,
2011.6779,,31.59,,
2011.6916,,,22.4,
2011.7052,,17.21,,
2011.7187,,,14.77,
2011.7321,,26.15,,
2011.7458,,,32.17,
2011.7591,,31.31,,
2011.7731,,,37.48,
2011.787,,29.66,,
2011.8003,,,22.57,
2011.8138,,13.5,,
2011.8273,,,24.62,
2011.841,,29.38,,
2011.8544,,,35.87,
2011.8681,,23.55,,
2011.8816,,,33.68,
2011.8953,,28.29,,
2011.9087,,,29.53,
2011.9222,,33.56,,
2011.9361,,,32.78,
2011.9495,,34.04,,
2011.9631,,,33.81,
2011.9766,,25.79,,
2011.9902,,,32.56,
2012.0037,,23.35,,
2012.0176,,,37.83,
2012.031,,34.76,,
2012.0444,,,35.65,
2012.0581,,22.9,,
2012.0717,,,32.86,
2012.0851,,26.32,,
2012.0988,,,15.77,
2012.1121,,7.16,,
2012.126,,,34.34,
2012.127,,35.67,,
2012.1531,,,47.29,
2012.167,,44.53,,
2012.1802,,,53.83,
2012.2075,,,51.69,
2012.2345,,,44.17,
2012.2617,,,21.96,
2012.2889,,,18.82,
2012.3162,,,25.35,
2012.3433,,,32.07,
2012.3648,,26.27,,
2012.3704,,,27.13,
2012.395,,33.13,,
2012.3975,,,43.06,
2012.4243,,,32.62,
2012.4247,,25.96,,
2012.4518,,,33.27,
2012.4544,,29.9,,
2012.4748,,34.58,,
2012.4789,,,29.24,
2012.495,,27.2,,
2012.5058,,,28.34,
2012.5251,,36.84,,
2012.5332,,,41.05,
2012.5548,,51.38,,
2012.5602,,,51.18,
2012.5849,,50.57,,
2012.5875,,,47.65,
2012.6051,,50.02,,
2012.6147,,,39.32,
2012.6255,,35.2,,
2012.6418,,,26.41,
2012.6554,,36.36,,
2012.6689,,,38.81,
2012.6851,,40.88,,
2012.6961,,,34.85,
2012.715,,34.2,,
2012.7232,,,40.48,
2012.7354,,49.87,,
2012.7502,,,49.35,
2012.7556,,47.96,,
2012.7777,,,31.17,
2012.7854,,29.3,,
2012.8047,,,13.79,
2012.8154,,11.39,,
2012.8316,,,18.42,
2012.8357,,16.19,,
2012.8564,,37.99,,
2012.8589,,,39.19,
2012.886,,,38.86,
2012.8862,,42.78,,
2012.9133,,,34.9,
2012.9158,,32.47,,
2012.9404,,,47.57,
2012.9458,,48.02,,
2012.966,,39.26,,
2012.9674,,,42.86,
2012.9862,,28.08,,
2012.9948,,,36.31,
2013.0163,,45.36,,
2013.0217,,,56.46,
2013.0462,,44.62,,
2013.049,,,49.34,
2013.0762,,46.75,47.9,
2013.0963,,36.26,,
2013.103,,,41.84,
2013.1168,,42.23,,
2013.1306,,,43.05,
2013.1465,,49.28,,
2013.1575,,,54.77,
2013.1849,,,40.24,
2013.2118,,,37.82,
2013.2199,,37.5,,
2013.2267,,28.75,,
2013.2469,,30.91,,
2013.2767,,32.7,,
2013.2934,,,38.82,
2013.307,,36.97,,
2013.3206,,,30.43,
2013.3271,,26.74,,
2013.3474,,,24.66,
2013.3475,,23.8,,
2013.3747,,,40.74,
2013.3775,,45.14,,
2013.4018,,,43.32,
2013.4072,,43.32,,
2013.4292,,,42.08,
2013.437,,37.17,,
2013.4561,,,32.93,
2013.4575,,31.43,,
2013.4835,,,44.28,
2013.5105,,,31.24,
2013.5377,,,25.86,
2013.5648,,,29.66,
2013.5921,,,32.99,
2013.6191,,,32.96,
2013.6462,,,39.05,
2013.6696,,,30.76,
2013.7071,,,24.61,
2013.7276,,,38.86,
2013.755,,,56.52,
2013.782,,,48.08,
2013.8089,,,37.62,
2013.8362,,,33.35,
2013.8635,,,30.68,
2013.8906,,,21.73,
2013.9178,,,27.44,
2013.9449,,,30.73,
2013.9721,,,35.74,
2013.9993,,,44.21,
2014.0264,,,39.35,
2014.0534,,,30.54,
2014.0806,,,34.89,
2014.1077,,,45.95,
2014.1349,,,53.48,
2014.162,,,39.82,
2014.1891,,,57.2,
2014.2165,,,61.82,
2014.2435,,,53.5,
2014.2706,,,58.72,
