year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2012.9137,,,26.18,
2012.9148,,24.72,,
2012.9406,,,21.72,
2012.9444,,16,,
2012.9652,,16.31,,
2012.9684,,,22.51,
2012.9858,,18.76,,
2012.9951,,,21.11,
2013.0154,,24.51,,
2013.0222,,,27.86,
2013.0448,,29.89,,
2013.0494,,,28.88,
2013.0751,,40.45,,
2013.0769,,,38,
2013.0955,,42.96,,
2013.104,,,47.7,
2013.1157,,26.91,,
2013.1309,,,21.51,
2013.1456,,14.65,,
2013.1583,,,21.09,
2013.1852,,,23.23,
2013.2122,,,19.61,
2013.219,,29.04,,
2013.2259,,14.79,,
2013.2465,,24.05,,
2013.2757,,0.04,,
2013.2941,,,21.89,
2013.3057,,24.37,,
2013.321,,,27.48,
2013.3263,,19.94,,
2013.3466,,33.81,,
2013.3482,,,38.13,
2013.3754,,,29.29,
2013.3765,,31.61,,
2013.4025,,,11.08,
2013.4063,,9.82,,
2013.4296,,,9.2,
2013.4361,,7.65,,
2013.4567,,18.85,20.49,
2013.4839,,,18.92,
2013.5111,,,36.56,
2013.5383,,,39.29,
2013.5655,,,20.92,
2013.5926,,,26.02,
2013.6196,,,32.09,
2013.6468,,,30.49,
2013.6697,,,28.22,
2013.7076,,,20.02,
2013.7283,,,17.42,
2013.7553,,,18.4,
2013.7825,,,27.5,
2013.8096,,,20.78,
2013.8369,,,45.16,
2013.8639,,,28.33,
2013.8912,,,30.18,
2013.9181,,,29.43,
2013.9452,,,39.23,
2013.9723,,,38.11,
2013.9993,,,28.81,
2014.0273,,,35.31,
2014.0539,,,33.03,
2014.0813,,,28.98,
2014.1083,,,19.19,
2014.1358,,,22.26,
2014.1625,,,31.6,
2014.1899,,,18.91,
2014.2171,,,18.87,
2014.2444,,,14.3,
2014.2711,,,19.56,
2014.2984,,,28.76,
2014.3255,,,23.12,
2014.3527,,,43.85,
2014.3798,,,26.83,
2014.4069,,,23.64,
2014.4341,,,13.96,
2014.4612,,,31.22,
2014.4884,,,36.35,
